title,description,address,logo_url,url
COYABA,Votre workspace digital qui augmente la productivité et vous économise du temps & de l’argent.,"79 Rue de Rennes, Paris",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo_coyaba.png,https://lespepitestech.com/startup-de-la-french-tech/coyaba
MAKE ME GLOW,L'IA conversationnelle au service des compétences en hôtellerie pour une expérience client et collaborateur unique,"29 Rue Blanche, Paris",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo_mmg_violet_intense1000px.png,https://lespepitestech.com/startup-de-la-french-tech/make-me-glow
INTERSTIS,La plateforme collaborative 100 % française et hautement sécurisée,"Interstis, Rue Jean Jaurès, Le Creusot",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo-interstis-polychrome-version-web.jpg,https://lespepitestech.com/startup-de-la-french-tech/interstis
AMPERUS,Amperus facilite la recharge des véhicules électriques à domicile,"62 Boulevard Garibaldi, Paris",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/amperus_color4x.png,https://lespepitestech.com/startup-de-la-french-tech/amperus
IMAGINE LEGAL DESIGN,Le droit peut vous donner le sourire : vivez enfin une expérience positive avec Imagine !,"4 Rue Brûlée, Strasbourg",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/imagine-02a_0.png,https://lespepitestech.com/startup-de-la-french-tech/imagine-legal-design
CAMPUS CONSULTING,Les meilleurs étudiants freelances d'écoles de commerce au service des TPE/PME,"110 Esplanade du Général de Gaulle, Courbevoie",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo_407.png,https://lespepitestech.com/startup-de-la-french-tech/campus-consulting
SPLIIT,Nous réinventons la location de bureaux en cassant les codes et les usages du marché.,Paris,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/spliit_logo.png,https://lespepitestech.com/startup-de-la-french-tech/spliit
BELLO,"Bello permet à votre famille de créer sa propre eau saine à la maison. Nous concevons de manière réfléchie, créons un moyen durable de consommer et connectons les gens à leur routine d'hydratation.","1250 Guy Street, Montréal, QC, Canada",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/bello_-_logo.png,https://lespepitestech.com/startup-de-la-french-tech/bello
AUTOJUST,Inspection de véhicule d'occasion avant achat,30 rue chaillot,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo_autojust-05.png,https://lespepitestech.com/startup-de-la-french-tech/autojust
ABBY,Une application gratuite qui te permet de créer et gérer de A à Z ton auto-entreprise. Réalise tes démarches administratives et fiscales facilement pour te concentrer sur ton activité !,"223 avenue du général Leclerc, 54000 Nancy",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/group_40111.png,https://lespepitestech.com/startup-de-la-french-tech/abby
GUEST ADOM,"GUEST ADOM est une conciergerie de proximité qui offre un service de gestion complète de logement en location de courte durée ou de moyenne durée sur des plateformes telles que Airbnb, Abritel, Booking.com.","26 Boulevard des Manouvriers, 53810 Changé",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo-ga-cgl-rvb-2021-vertical_2_lignes.jpg,https://lespepitestech.com/startup-de-la-french-tech/guest-adom
QILIBRI,Experts en bien-être par l'alimentation,Paris,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo_carre_3.jpg,https://lespepitestech.com/startup-de-la-french-tech/qilibri
